No.;Time;;No;Time;Time 2;;Delay;Total Delay ;;Delay 1;Delay 2;;Jitter;Total Jitter
765;5.499.655;;765;5,499655;5,499725;;7E-05;;;-0,00788;0,007934;;0,015814;
766;5.499.725;;766;5,499725;5,507675;;0,00795;;;0,007934;1E-05;;-0,007924;
767;5.507.675;;767;5,507675;5,507691;;1,6E-05;;;1E-05;0;;-1E-05;
768;5.507.691;;768;5,507691;5,507697;;6E-06;;;0;-0,00172;;-0,00172;
769;5.507.697;;769;5,507697;5,507703;;6E-06;;;-0,00172;0,001671;;0,003391;
770;5.507.703;;770;5,507703;5,509429;;0,001726;;;0,001671;2,3E-05;;-0,001648;
771;5.509.429;;771;5,509429;5,509484;;5,5E-05;;;2,3E-05;-1,8E-05;;-4,1E-05;
772;5.509.484;;772;5,509484;5,509516;;3,2E-05;;;-1,8E-05;-0,000172;;-0,000154;
773;5.509.516;;773;5,509516;5,509566;;5E-05;;;-0,000172;-0,001086;;-0,000914;
774;5.509.566;;774;5,509566;5,509788;;0,000222;;;-0,001086;0,001152;;0,002238;
775;5.509.788;;775;5,509788;5,511096;;0,001308;;;0,001152;-0,010162;;-0,011314;
776;5.511.096;;776;5,511096;5,511252;;0,000156;;;-0,010162;0,010299;;0,020461;
777;5.511.252;;777;5,511252;5,52157;;0,010318;;;0,010299;1,2E-05;;-0,010287;
778;5.521.570;;778;5,52157;5,521589;;1,9E-05;;;1,2E-05;-3,3E-05;;-4,5E-05;
779;5.521.589;;779;5,521589;5,521596;;7E-06;;;-3,3E-05;-0,005175;;-0,005142;
780;5.521.596;;780;5,521596;5,521636;;4E-05;;;-0,005175;0,000817;;0,005992;
781;5.521.636;;781;5,521636;5,526851;;0,005215;;;0,000817;0,004389;;0,003572;
782;5.526.851;;782;5,526851;5,531249;;0,004398;;;0,004389;-0,001173;;-0,005562;
783;5.531.249;;783;5,531249;5,531258;;9E-06;;;-0,001173;0,001136;;0,002309;
784;5.531.258;;784;5,531258;5,53244;;0,001182;;;0,001136;-1,5E-05;;-0,001151;
785;5.532.440;;785;5,53244;5,532486;;4,6E-05;;;-1,5E-05;2E-05;;3,5E-05;
786;5.532.486;;786;5,532486;5,532547;;6,1E-05;;;2E-05;1,8E-05;;-2E-06;
787;5.532.547;;787;5,532547;5,532588;;4,1E-05;;;1,8E-05;-1,8E-05;;-3,6E-05;
788;5.532.588;;788;5,532588;5,532611;;2,3E-05;;;-1,8E-05;-0,000312;;-0,000294;
789;5.532.611;;789;5,532611;5,532652;;4,1E-05;;;-0,000312;0,000238;;0,00055;
790;5.532.652;;790;5,532652;5,533005;;0,000353;;;0,000238;5,9E-05;;-0,000179;
791;5.533.005;;791;5,533005;5,53312;;0,000115;;;5,9E-05;-0,002004;;-0,002063;
792;5.533.120;;792;5,53312;5,533176;;5,6E-05;;;-0,002004;0,002053;;0,004057;
793;5.533.176;;793;5,533176;5,535236;;0,00206;;;0,002053;-0,005541;;-0,007594;
794;5.535.236;;794;5,535236;5,535243;;7E-06;;;-0,005541;-0,001294;;0,004247;
795;5.535.243;;795;5,535243;5,540791;;0,005548;;;-0,001294;0,006842;;0,008136;
796;5.540.791;;796;5,540791;5,547633;;0,006842;;;0,006842;-0,01402;;-0,020862;
797;5.547.633;;797;5,547633;5,547633;;0;;;-0,01402;0,013136;;0,027156;
798;5.547.633;;798;5,547633;5,561653;;0,01402;;;0,013136;-0,004145;;-0,017281;
799;5.561.653;;799;5,561653;5,562537;;0,000884;;;-0,004145;-0,074885;;-0,07074;
800;5.562.537;;800;5,562537;5,567566;;0,005029;;;-0,074885;0,07982;;0,154705;
801;5.567.566;;801;5,567566;5,64748;;0,079914;;;0,07982;-0,000826;;-0,080646;
802;5.647.480;;802;5,64748;5,647574;;9,4E-05;;;-0,000826;0,000649;;0,001475;
803;5.647.574;;803;5,647574;5,648494;;0,00092;;;0,000649;-6,2E-05;;-0,000711;
804;5.648.494;;804;5,648494;5,648765;;0,000271;;;-6,2E-05;-0,019225;;-0,019163;
805;5.648.765;;805;5,648765;5,649098;;0,000333;;;-0,019225;0,019538;;0,038763;
806;5.649.098;;806;5,649098;5,668656;;0,019558;;;0,019538;-0,000368;;-0,019906;
807;5.668.656;;807;5,668656;5,668676;;2E-05;;;-0,000368;-0,003052;;-0,002684;
808;5.668.676;;808;5,668676;5,669064;;0,000388;;;-0,003052;0,003421;;0,006473;
809;5.669.064;;809;5,669064;5,672504;;0,00344;;;0,003421;-0,000235;;-0,003656;
810;5.672.504;;810;5,672504;5,672523;;1,9E-05;;;-0,000235;-0,009334;;-0,009099;
811;5.672.523;;811;5,672523;5,672777;;0,000254;;;-0,009334;-0,000437;;0,008897;
812;5.672.777;;812;5,672777;5,682365;;0,009588;;;-0,000437;0,010005;;0,010442;
813;5.682.365;;813;5,682365;5,69239;;0,010025;;;0,010005;1,3E-05;;-0,009992;
814;5.692.390;;814;5,69239;5,69241;;2E-05;;;1,3E-05;1E-06;;-1,2E-05;
815;5.692.410;;815;5,69241;5,692417;;7E-06;;;1E-06;-9,6E-05;;-9,7E-05;
816;5.692.417;;816;5,692417;5,692423;;6E-06;;;-9,6E-05;-0,000299;;-0,000203;
817;5.692.423;;817;5,692423;5,692525;;0,000102;;;-0,000299;-0,012961;;-0,012662;
818;5.692.525;;818;5,692525;5,692926;;0,000401;;;-0,012961;0,0095;;0,022461;
819;5.692.926;;819;5,692926;5,706288;;0,013362;;;0,0095;-0,004186;;-0,013686;
820;5.706.288;;820;5,706288;5,71015;;0,003862;;;-0,004186;-0,008212;;-0,004026;
821;5.710.150;;821;5,71015;5,718198;;0,008048;;;-0,008212;0,007853;;0,016065;
822;5.718.198;;822;5,718198;5,734458;;0,01626;;;0,007853;-0,031874;;-0,039727;
823;5.734.458;;823;5,734458;5,742865;;0,008407;;;-0,031874;0,01592;;0,047794;
824;5.742.865;;824;5,742865;5,783146;;0,040281;;;0,01592;0,021523;;0,005603;
825;5.783.146;;825;5,783146;5,807507;;0,024361;;;0,021523;0,002817;;-0,018706;
826;5.807.507;;826;5,807507;5,810345;;0,002838;;;0,002817;-0,005117;;-0,007934;
827;5.810.345;;827;5,810345;5,810366;;2,1E-05;;;-0,005117;-0,012004;;-0,006887;
828;5.810.366;;828;5,810366;5,815504;;0,005138;;;-0,012004;0,017131;;0,029135;
829;5.815.504;;829;5,815504;5,832646;;0,017142;;;0,017131;-3,6E-05;;-0,017167;
830;5.832.646;;830;5,832646;5,832657;;1,1E-05;;;-3,6E-05;1,7E-05;;5,3E-05;
831;5.832.657;;831;5,832657;5,832704;;4,7E-05;;;1,7E-05;2,4E-05;;7E-06;
832;5.832.704;;832;5,832704;5,832734;;3E-05;;;2,4E-05;2E-06;;-2,2E-05;
833;5.832.734;;833;5,832734;5,83274;;6E-06;;;2E-06;-1E-06;;-3E-06;
834;5.832.740;;834;5,83274;5,832744;;4E-06;;;-1E-06;-2,1E-05;;-2E-05;
835;5.832.744;;835;5,832744;5,832749;;5E-06;;;-2,1E-05;-0,011586;;-0,011565;
836;5.832.749;;836;5,832749;5,832775;;2,6E-05;;;-0,011586;0,010671;;0,022257;
837;5.832.775;;837;5,832775;5,844387;;0,011612;;;0,010671;-0,020104;;-0,030775;
838;5.844.387;;838;5,844387;5,845328;;0,000941;;;-0,020104;0,02093;;0,041034;
839;5.845.328;;839;5,845328;5,866373;;0,021045;;;0,02093;-0,005474;;-0,026404;
840;5.866.373;;840;5,866373;5,866488;;0,000115;;;-0,005474;0,005322;;0,010796;
841;5.866.488;;841;5,866488;5,872077;;0,005589;;;0,005322;-0,002716;;-0,008038;
842;5.872.077;;842;5,872077;5,872344;;0,000267;;;-0,002716;0,002841;;0,005557;
843;5.872.344;;843;5,872344;5,875327;;0,002983;;;0,002841;-0,002733;;-0,005574;
844;5.875.327;;844;5,875327;5,875469;;0,000142;;;-0,002733;0,002815;;0,005548;
845;5.875.469;;845;5,875469;5,878344;;0,002875;;;0,002815;-0,031847;;-0,034662;
846;5.878.344;;846;5,878344;5,878404;;6E-05;;;-0,031847;0,031717;;0,063564;
847;5.878.404;;847;5,878404;5,910311;;0,031907;;;0,031717;-2E-06;;-0,031719;
848;5.910.311;;848;5,910311;5,910501;;0,00019;;;-2E-06;-0,001288;;-0,001286;
849;5.910.501;;849;5,910501;5,910693;;0,000192;;;-0,001288;-0,001578;;-0,00029;
850;5.910.693;;850;5,910693;5,912173;;0,00148;;;-0,001578;0,002847;;0,004425;
851;5.912.173;;851;5,912173;5,915231;;0,003058;;;0,002847;-0,010706;;-0,013553;
852;5.915.231;;852;5,915231;5,915442;;0,000211;;;-0,010706;0,003914;;0,01462;
853;5.915.442;;853;5,915442;5,926359;;0,010917;;;0,003914;0,006982;;0,003068;
854;5.926.359;;854;5,926359;5,933362;;0,007003;;;0,006982;1,3E-05;;-0,006969;
855;5.933.362;;855;5,933362;5,933383;;2,1E-05;;;1,3E-05;-0,00031;;-0,000323;
856;5.933.383;;856;5,933383;5,933391;;8E-06;;;-0,00031;-0,04456;;-0,04425;
857;5.933.391;;857;5,933391;5,933709;;0,000318;;;-0,04456;0,037129;;0,081689;
858;5.933.709;;858;5,933709;5,978587;;0,044878;;;0,037129;0,007491;;-0,029638;
859;5.978.587;;859;5,978587;5,986336;;0,007749;;;0,007491;-0,000695;;-0,008186;
860;5.986.336;;860;5,986336;5,986594;;0,000258;;;-0,000695;0,000299;;0,000994;
861;5.986.594;;861;5,986594;5,987547;;0,000953;;;0,000299;0,000556;;0,000257;
862;5.987.547;;862;5,987547;5,988201;;0,000654;;;0,000556;-0,000945;;-0,001501;
863;5.988.201;;863;5,988201;5,988299;;9,8E-05;;;-0,000945;0,001037;;0,001982;
864;5.988.299;;864;5,988299;5,989342;;0,001043;;;0,001037;-7,5E-05;;-0,001112;
865;5.989.342;;865;5,989342;5,989348;;6E-06;;;-7,5E-05;-0,001871;;-0,001796;
866;5.989.348;;866;5,989348;5,989429;;8,1E-05;;;-0,001871;-0,009287;;-0,007416;
867;5.989.429;;867;5,989429;5,991381;;0,001952;;;-0,009287;-0,017763;;-0,008476;
868;5.991.381;;868;5,991381;6,00262;;0,011239;;;-0,017763;0,006852;;0,024615;
869;6.002.620;;869;6,00262;6,031622;;0,029002;;;0,006852;0,01352;;0,006668;
870;6.031.622;;870;6,031622;6,053772;;0,02215;;;0,01352;-0,000339;;-0,013859;
871;6.053.772;;871;6,053772;6,062402;;0,00863;;;-0,000339;-0,000662;;-0,000323;
872;6.062.402;;872;6,062402;6,071371;;0,008969;;;-0,000662;0,009084;;0,009746;
873;6.071.371;;873;6,071371;6,081002;;0,009631;;;0,009084;-0,020585;;-0,029669;
874;6.081.002;;874;6,081002;6,081549;;0,000547;;;-0,020585;-0,011403;;0,009182;
875;6.081.549;;875;6,081549;6,102681;;0,021132;;;-0,011403;0,026286;;0,037689;
876;6.102.681;;876;6,102681;6,135216;;0,032535;;;0,026286;0,006099;;-0,020187;
877;6.135.216;;877;6,135216;6,141465;;0,006249;;;0,006099;-0,000257;;-0,006356;
878;6.141.465;;878;6,141465;6,141615;;0,00015;;;-0,000257;-0,018959;;-0,018702;
879;6.141.615;;879;6,141615;6,142022;;0,000407;;;-0,018959;0,019017;;0,037976;
880;6.142.022;;880;6,142022;6,161388;;0,019366;;;0,019017;-0,000223;;-0,01924;
881;6.161.388;;881;6,161388;6,161737;;0,000349;;;-0,000223;0,00052;;0,000743;
882;6.161.737;;882;6,161737;6,162309;;0,000572;;;0,00052;-0,000531;;-0,001051;
883;6.162.309;;883;6,162309;6,162361;;5,2E-05;;;-0,000531;-0,007765;;-0,007234;
884;6.162.361;;884;6,162361;6,162944;;0,000583;;;-0,007765;0,008331;;0,016096;
885;6.162.944;;885;6,162944;6,171292;;0,008348;;;0,008331;1,1E-05;;-0,00832;
886;6.171.292;;886;6,171292;6,171309;;1,7E-05;;;1,1E-05;-0,000247;;-0,000258;
887;6.171.309;;887;6,171309;6,171315;;6E-06;;;-0,000247;0,000158;;0,000405;
888;6.171.315;;888;6,171315;6,171568;;0,000253;;;0,000158;-0,011614;;-0,011772;
889;6.171.568;;889;6,171568;6,171663;;9,5E-05;;;-0,011614;0,011444;;0,023058;
890;6.171.663;;890;6,171663;6,183372;;0,011709;;;0,011444;-0,001658;;-0,013102;
891;6.183.372;;891;6,183372;6,183637;;0,000265;;;-0,001658;0,001849;;0,003507;
892;6.183.637;;892;6,183637;6,18556;;0,001923;;;0,001849;6,3E-05;;-0,001786;
893;6.185.560;;893;6,18556;6,185634;;7,4E-05;;;6,3E-05;-8,7E-05;;-0,00015;
894;6.185.634;;894;6,185634;6,185645;;1,1E-05;;;-8,7E-05;-0,001877;;-0,00179;
895;6.185.645;;895;6,185645;6,185743;;9,8E-05;;;-0,001877;0,001953;;0,00383;
896;6.185.743;;896;6,185743;6,187718;;0,001975;;;0,001953;-0,000205;;-0,002158;
897;6.187.718;;897;6,187718;6,18774;;2,2E-05;;;-0,000205;-0,001135;;-0,00093;
898;6.187.740;;898;6,18774;6,187967;;0,000227;;;-0,001135;0,001315;;0,00245;
899;6.187.967;;899;6,187967;6,189329;;0,001362;;;0,001315;-1,6E-05;;-0,001331;
900;6.189.329;;900;6,189329;6,189376;;4,7E-05;;;-1,6E-05;-0,020553;;-0,020537;
901;6.189.376;;901;6,189376;6,189439;;6,3E-05;;;-0,020553;0,020555;;0,041108;
902;6.189.439;;902;6,189439;6,210055;;0,020616;;;0,020555;5,4E-05;;-0,020501;
903;6.210.055;;903;6,210055;6,210116;;6,1E-05;;;5,4E-05;-3,5E-05;;-8,9E-05;
904;6.210.116;;904;6,210116;6,210123;;7E-06;;;-3,5E-05;1,8E-05;;5,3E-05;
905;6.210.123;;905;6,210123;6,210165;;4,2E-05;;;1,8E-05;-6,1E-05;;-7,9E-05;
906;6.210.165;;906;6,210165;6,210189;;2,4E-05;;;-6,1E-05;4,4E-05;;0,000105;
907;6.210.189;;907;6,210189;6,210274;;8,5E-05;;;4,4E-05;-0,001151;;-0,001195;
908;6.210.274;;908;6,210274;6,210315;;4,1E-05;;;-0,001151;0,000847;;0,001998;
909;6.210.315;;909;6,210315;6,211507;;0,001192;;;0,000847;-0,011182;;-0,012029;
910;6.211.507;;910;6,211507;6,211852;;0,000345;;;-0,011182;0,010553;;0,021735;
911;6.211.852;;911;6,211852;6,223379;;0,011527;;;0,010553;-0,001849;;-0,012402;
912;6.223.379;;912;6,223379;6,224353;;0,000974;;;-0,001849;0,002629;;0,004478;
913;6.224.353;;913;6,224353;6,227176;;0,002823;;;0,002629;-0,006797;;-0,009426;
914;6.227.176;;914;6,227176;6,22737;;0,000194;;;-0,006797;0,006782;;0,013579;
915;6.227.370;;915;6,22737;6,234361;;0,006991;;;0,006782;-0,001695;;-0,008477;
916;6.234.361;;916;6,234361;6,23457;;0,000209;;;-0,001695;0,001892;;0,003587;
917;6.234.570;;917;6,23457;6,236474;;0,001904;;;0,001892;6E-06;;-0,001886;
918;6.236.474;;918;6,236474;6,236486;;1,2E-05;;;6E-06;-0,000157;;-0,000163;
919;6.236.486;;919;6,236486;6,236492;;6E-06;;;-0,000157;-0,022475;;-0,022318;
920;6.236.492;;920;6,236492;6,236655;;0,000163;;;-0,022475;0,012625;;0,0351;
921;6.236.655;;921;6,236655;6,259293;;0,022638;;;0,012625;0,009819;;-0,002806;
922;6.259.293;;922;6,259293;6,269306;;0,010013;;;0,009819;-0,000511;;-0,01033;
923;6.269.306;;923;6,269306;6,2695;;0,000194;;;-0,000511;-0,009392;;-0,008881;
924;6.269.500;;924;6,2695;6,270205;;0,000705;;;-0,009392;-0,027054;;-0,017662;
925;6.270.205;;925;6,270205;6,280302;;0,010097;;;-0,027054;0,023063;;0,050117;
926;6.280.302;;926;6,280302;6,317453;;0,037151;;;0,023063;0,013987;;-0,009076;
927;6.317.453;;927;6,317453;6,331541;;0,014088;;;0,013987;9,5E-05;;-0,013892;
928;6.331.541;;928;6,331541;6,331642;;0,000101;;;9,5E-05;-0,000263;;-0,000358;
929;6.331.642;;929;6,331642;6,331648;;6E-06;;;-0,000263;-0,000968;;-0,000705;
930;6.331.648;;930;6,331648;6,331917;;0,000269;;;-0,000968;0,001161;;0,002129;
931;6.331.917;;931;6,331917;6,333154;;0,001237;;;0,001161;2,7E-05;;-0,001134;
932;6.333.154;;932;6,333154;6,33323;;7,6E-05;;;2,7E-05;1,8E-05;;-9E-06;
933;6.333.230;;933;6,33323;6,333279;;4,9E-05;;;1,8E-05;-5E-06;;-2,3E-05;
934;6.333.279;;934;6,333279;6,33331;;3,1E-05;;;-5E-06;-3E-05;;-2,5E-05;
935;6.333.310;;935;6,33331;6,333346;;3,6E-05;;;-3E-05;2,9E-05;;5,9E-05;
936;6.333.346;;936;6,333346;6,333412;;6,6E-05;;;2,9E-05;2E-06;;-2,7E-05;
937;6.333.412;;937;6,333412;6,333449;;3,7E-05;;;2E-06;4E-06;;2E-06;
938;6.333.449;;938;6,333449;6,333484;;3,5E-05;;;4E-06;-6E-06;;-1E-05;
939;6.333.484;;939;6,333484;6,333515;;3,1E-05;;;-6E-06;4E-06;;1E-05;
940;6.333.515;;940;6,333515;6,333552;;3,7E-05;;;4E-06;-1,5E-05;;-1,9E-05;
941;6.333.552;;941;6,333552;6,333585;;3,3E-05;;;-1,5E-05;1,2E-05;;2,7E-05;
942;6.333.585;;942;6,333585;6,333633;;4,8E-05;;;1,2E-05;-2E-06;;-1,4E-05;
943;6.333.633;;943;6,333633;6,333669;;3,6E-05;;;-2E-06;-3,1E-05;;-2,9E-05;
944;6.333.669;;944;6,333669;6,333707;;3,8E-05;;;-3,1E-05;1,1E-05;;4,2E-05;
945;6.333.707;;945;6,333707;6,333776;;6,9E-05;;;1,1E-05;7E-06;;-4E-06;
946;6.333.776;;946;6,333776;6,333834;;5,8E-05;;;7E-06;-3,4E-05;;-4,1E-05;
947;6.333.834;;947;6,333834;6,333885;;5,1E-05;;;-3,4E-05;-0,008521;;-0,008487;
948;6.333.885;;948;6,333885;6,33397;;8,5E-05;;;-0,008521;-0,055872;;-0,047351;
949;6.333.970;;949;6,33397;6,342576;;0,008606;;;-0,055872;0,022532;;0,078404;
950;6.342.576;;950;6,342576;6,407054;;0,064478;;;0,022532;0,041928;;0,019396;
951;6.407.054;;951;6,407054;6,449;;0,041946;;;0,041928;1,1E-05;;-0,041917;
952;6.449.000;;952;6,449;6,449018;;1,8E-05;;;1,1E-05;1E-06;;-1E-05;
953;6.449.018;;953;6,449018;6,449025;;7E-06;;;1E-06;1E-06;;-8,88178E-16;
954;6.449.025;;954;6,449025;6,449031;;6E-06;;;1E-06;-6,4E-05;;-6,5E-05;
955;6.449.031;;955;6,449031;6,449036;;5E-06;;;-6,4E-05;-4E-05;;2,4E-05;
956;6.449.036;;956;6,449036;6,449105;;6,9E-05;;;-4E-05;8,7E-05;;0,000127;
957;6.449.105;;957;6,449105;6,449214;;0,000109;;;8,7E-05;-4,9E-05;;-0,000136;
958;6.449.214;;958;6,449214;6,449236;;2,2E-05;;;-4,9E-05;4E-05;;8,9E-05;
959;6.449.236;;959;6,449236;6,449307;;7,1E-05;;;4E-05;1,6E-05;;-2,4E-05;
960;6.449.307;;960;6,449307;6,449338;;3,1E-05;;;1,6E-05;-1E-06;;-1,7E-05;
961;6.449.338;;961;6,449338;6,449353;;1,5E-05;;;-1E-06;-1,9E-05;;-1,8E-05;
962;6.449.353;;962;6,449353;6,449369;;1,6E-05;;;-1,9E-05;-6E-06;;1,3E-05;
963;6.449.369;;963;6,449369;6,449404;;3,5E-05;;;-6E-06;2,4E-05;;3E-05;
964;6.449.404;;964;6,449404;6,449445;;4,1E-05;;;2,4E-05;-1,7E-05;;-4,1E-05;
965;6.449.445;;965;6,449445;6,449462;;1,7E-05;;;-1,7E-05;2E-05;;3,7E-05;
966;6.449.462;;966;6,449462;6,449496;;3,4E-05;;;2E-05;1E-06;;-1,9E-05;
967;6.449.496;;967;6,449496;6,44951;;1,4E-05;;;1E-06;-1E-06;;-2E-06;
968;6.449.510;;968;6,44951;6,449523;;1,3E-05;;;-1E-06;-3,4E-05;;-3,3E-05;
969;6.449.523;;969;6,449523;6,449537;;1,4E-05;;;-3,4E-05;1,5E-05;;4,9E-05;
970;6.449.537;;970;6,449537;6,449585;;4,8E-05;;;1,5E-05;3E-06;;-1,2E-05;
971;6.449.585;;971;6,449585;6,449618;;3,3E-05;;;3E-06;1E-06;;-2E-06;
972;6.449.618;;972;6,449618;6,449648;;3E-05;;;1E-06;2E-06;;1E-06;
973;6.449.648;;973;6,449648;6,449677;;2,9E-05;;;2E-06;2,3E-05;;2,1E-05;
974;6.449.677;;974;6,449677;6,449704;;2,7E-05;;;2,3E-05;-4,5E-05;;-6,8E-05;
975;6.449.704;;975;6,449704;6,449708;;4E-06;;;-4,5E-05;-0,000119;;-7,4E-05;
976;6.449.708;;976;6,449708;6,449757;;4,9E-05;;;-0,000119;0,0001;;0,000219;
977;6.449.757;;977;6,449757;6,449925;;0,000168;;;0,0001;2,7E-05;;-7,3E-05;
978;6.449.925;;978;6,449925;6,449993;;6,8E-05;;;2,7E-05;2,3E-05;;-4E-06;
979;6.449.993;;979;6,449993;6,450034;;4,1E-05;;;2,3E-05;-8,1E-05;;-0,000104;
980;6.450.034;;980;6,450034;6,450052;;1,8E-05;;;-8,1E-05;1,3E-05;;9,4E-05;
981;6.450.052;;981;6,450052;6,450151;;9,9E-05;;;1,3E-05;6,4E-05;;5,1E-05;
982;6.450.151;;982;6,450151;6,450237;;8,6E-05;;;6,4E-05;-1E-06;;-6,5E-05;
983;6.450.237;;983;6,450237;6,450259;;2,2E-05;;;-1E-06;-3,9E-05;;-3,8E-05;
984;6.450.259;;984;6,450259;6,450282;;2,3E-05;;;-3,9E-05;5,9E-05;;9,8E-05;
985;6.450.282;;985;6,450282;6,450344;;6,2E-05;;;5,9E-05;-4,4E-05;;-0,000103;
986;6.450.344;;986;6,450344;6,450347;;3E-06;;;-4,4E-05;-0,000505;;-0,000461;
987;6.450.347;;987;6,450347;6,450394;;4,7E-05;;;-0,000505;0,000464;;0,000969;
988;6.450.394;;988;6,450394;6,450946;;0,000552;;;0,000464;-9,2E-05;;-0,000556;
989;6.450.946;;989;6,450946;6,451034;;8,8E-05;;;-9,2E-05;0,000162;;0,000254;
990;6.451.034;;990;6,451034;6,451214;;0,00018;;;0,000162;4E-06;;-0,000158;
991;6.451.214;;991;6,451214;6,451232;;1,8E-05;;;4E-06;1E-06;;-3E-06;
992;6.451.232;;992;6,451232;6,451246;;1,4E-05;;;1E-06;-2E-06;;-3E-06;
993;6.451.246;;993;6,451246;6,451259;;1,3E-05;;;-2E-06;2E-06;;4E-06;
994;6.451.259;;994;6,451259;6,451274;;1,5E-05;;;2E-06;0;;-2E-06;
995;6.451.274;;995;6,451274;6,451287;;1,3E-05;;;0;-0,017161;;-0,017161;
996;6.451.287;;996;6,451287;6,4513;;1,3E-05;;;-0,017161;0,017162;;0,034323;
997;6.451.300;;997;6,4513;6,468474;;0,017174;;;0,017162;-0,000259;;-0,017421;
998;6.468.474;;998;6,468474;6,468486;;1,2E-05;;;-0,000259;0,000218;;0,000477;
999;6.468.486;;999;6,468486;6,468757;;0,000271;;;0,000218;-0,041696;;-0,041914;
1000;6.468.757;;1000;6,468757;6,46881;;5,3E-05;;;-0,041696;0,041733;;0,083429;
1001;6.468.810;;1001;6,46881;6,510559;;0,041749;;;0,041733;1E-05;;-0,041723;
1002;6.510.559;;1002;6,510559;6,510575;;1,6E-05;;;1E-05;-0,000789;;-0,000799;
1003;6.510.575;;1003;6,510575;6,510581;;6E-06;;;-0,000789;0,000754;;0,001543;
1004;6.510.581;;1004;6,510581;6,511376;;0,000795;;;0,000754;1,4E-05;;-0,00074;
1005;6.511.376;;1005;6,511376;6,511417;;4,1E-05;;;1,4E-05;-2,2E-05;;-3,6E-05;
1006;6.511.417;;1006;6,511417;6,511444;;2,7E-05;;;-2,2E-05;-0,000234;;-0,000212;
1007;6.511.444;;1007;6,511444;6,511493;;4,9E-05;;;-0,000234;-0,00015;;8,4E-05;
1008;6.511.493;;1008;6,511493;6,511776;;0,000283;;;-0,00015;0,000424;;0,000574;
1009;6.511.776;;1009;6,511776;6,512209;;0,000433;;;0,000424;6E-06;;-0,000418;
1010;6.512.209;;1010;6,512209;6,512218;;9E-06;;;6E-06;-0,000212;;-0,000218;
1011;6.512.218;;1011;6,512218;6,512221;;3E-06;;;-0,000212;0,000177;;0,000389;
1012;6.512.221;;1012;6,512221;6,512436;;0,000215;;;0,000177;-1,5E-05;;-0,000192;
1013;6.512.436;;1013;6,512436;6,512474;;3,8E-05;;;-1,5E-05;-0,00071;;-0,000695;
1014;6.512.474;;1014;6,512474;6,512527;;5,3E-05;;;-0,00071;0,000753;;0,001463;
1015;6.512.527;;1015;6,512527;6,51329;;0,000763;;;0,000753;4E-06;;-0,000749;
1016;6.513.290;;1016;6,51329;6,5133;;1E-05;;;4E-06;-0,016106;;-0,01611;
1017;6.513.300;;1017;6,5133;6,513306;;6E-06;;;-0,016106;0,016102;;0,032208;
1018;6.513.306;;1018;6,513306;6,529418;;0,016112;;;0,016102;-0,039014;;-0,055116;
1019;6.529.418;;1019;6,529418;6,529428;;1E-05;;;-0,039014;4E-06;;0,039018;
1020;6.529.428;;1020;6,529428;6,568452;;0,039024;;;4E-06;0,036899;;0,036895;
1021;6.568.452;;1021;6,568452;6,607472;;0,03902;;;0,036899;-0,028862;;-0,065761;
1022;6.607.472;;1022;6,607472;6,609593;;0,002121;;;-0,028862;0,030973;;0,059835;
1023;6.609.593;;1023;6,609593;6,640576;;0,030983;;;0,030973;4E-06;;-0,030969;
1024;6.640.576;;1024;6,640576;6,640586;;1E-05;;;4E-06;-6,3E-05;;-6,7E-05;
1025;6.640.586;;1025;6,640586;6,640592;;6E-06;;;-6,3E-05;4,5E-05;;0,000108;
1026;6.640.592;;1026;6,640592;6,640661;;6,9E-05;;;4,5E-05;-0,008667;;-0,008712;
1027;6.640.661;;1027;6,640661;6,640685;;2,4E-05;;;-0,008667;0,008654;;0,017321;
1028;6.640.685;;1028;6,640685;6,649376;;0,008691;;;0,008654;-0,004888;;-0,013542;
1029;6.649.376;;1029;6,649376;6,649413;;3,7E-05;;;-0,004888;0,004893;;0,009781;
1030;6.649.413;;1030;6,649413;6,654338;;0,004925;;;0,004893;-0,027691;;-0,032584;
1031;6.654.338;;1031;6,654338;6,65437;;3,2E-05;;;-0,027691;0,02749;;0,055181;
1032;6.654.370;;1032;6,65437;6,682093;;0,027723;;;0,02749;-0,022226;;-0,049716;
1033;6.682.093;;1033;6,682093;6,682326;;0,000233;;;-0,022226;0,017633;;0,039859;
1034;6.682.326;;1034;6,682326;6,704785;;0,022459;;;0,017633;0,00454;;-0,013093;
1035;6.704.785;;1035;6,704785;6,709611;;0,004826;;;0,00454;-0,000576;;-0,005116;
1036;6.709.611;;1036;6,709611;6,709897;;0,000286;;;-0,000576;-0,000663;;-8,7E-05;
1037;6.709.897;;1037;6,709897;6,710759;;0,000862;;;-0,000663;-0,001508;;-0,000845;
1038;6.710.759;;1038;6,710759;6,712284;;0,001525;;;-0,001508;0,002916;;0,004424;
1039;6.712.284;;1039;6,712284;6,715317;;0,003033;;;0,002916;-0,002441;;-0,005357;
1040;6.715.317;;1040;6,715317;6,715434;;0,000117;;;-0,002441;0,001946;;0,004387;
1041;6.715.434;;1041;6,715434;6,717992;;0,002558;;;0,001946;-0,065515;;-0,067461;
1042;6.717.992;;1042;6,717992;6,718604;;0,000612;;;-0,065515;0,066099;;0,131614;
1043;6.718.604;;1043;6,718604;6,784731;;0,066127;;;0,066099;1,9E-05;;-0,06608;
1044;6.784.731;;1044;6,784731;6,784759;;2,8E-05;;;1,9E-05;-0,000462;;-0,000481;
