No.;Time;;No.;Time;Time 2;;Delay;Total Delay;;Delay 1;Delay 2;;Jitter;Total Jitter
66;1.635.221;;66;1,635221;1,639039;;0,003818;;;-0,016404;0,019894;;0,036298;
67;1.639.039;;67;1,639039;1,659261;;0,020222;;;0,019894;-0,028236;;-0,04813;
68;1.659.261;;68;1,659261;1,659589;;0,000328;;;-0,028236;0,028117;;0,056353;
69;1.659.589;;69;1,659589;1,688153;;0,028564;;;0,028117;-0,086235;;-0,114352;
70;1.688.153;;70;1,688153;1,6886;;0,000447;;;-0,086235;0,083576;;0,169811;
71;1.688.600;;71;1,6886;1,775282;;0,086682;;;0,083576;-0,044745;;-0,128321;
72;1.775.282;;72;1,775282;1,778388;;0,003106;;;-0,044745;-0,075093;;-0,030348;
73;1.778.388;;73;1,778388;1,826239;;0,047851;;;-0,075093;0,122665;;0,197758;
74;1.826.239;;74;1,826239;1,949183;;0,122944;;;0,122665;-0,043344;;-0,166009;
75;1.949.183;;75;1,949183;1,949462;;0,000279;;;-0,043344;0,042418;;0,085762;
76;1.949.462;;76;1,949462;1,993085;;0,043623;;;0,042418;-0,080699;;-0,123117;
77;1.993.085;;77;1,993085;1,99429;;0,001205;;;-0,080699;0,069895;;0,150594;
78;1.994.290;;78;1,99429;2,076194;;0,081904;;;0,069895;-0,035991;;-0,105886;
79;2.076.194;;79;2,076194;2,088203;;0,012009;;;-0,035991;0,047823;;0,083814;
80;2.088.203;;80;2,088203;2,136203;;0,048;;;0,047823;-0,046475;;-0,094298;
81;2.136.203;;81;2,136203;2,13638;;0,000177;;;-0,046475;-0,075552;;-0,029077;
82;2.136.380;;82;2,13638;2,183032;;0,046652;;;-0,075552;0,121855;;0,197407;
83;2.183.032;;83;2,183032;2,305236;;0,122204;;;0,121855;-0,316437;;-0,438292;
84;2.305.236;;84;2,305236;2,305585;;0,000349;;;-0,316437;0,276319;;0,592756;
85;2.305.585;;85;2,305585;2,622371;;0,316786;;;0,276319;-0,053957;;-0,330276;
86;2.622.371;;86;2,622371;2,662838;;0,040467;;;-0,053957;0,094347;;0,148304;
87;2.662.838;;87;2,662838;2,757262;;0,094424;;;0,094347;-5,5E-05;;-0,094402;
88;2.757.262;;88;2,757262;2,757339;;7,7E-05;;;-5,5E-05;-0,014084;;-0,014029;
89;2.757.339;;89;2,757339;2,757471;;0,000132;;;-0,014084;-0,043308;;-0,029224;
90;2.757.471;;90;2,757471;2,771687;;0,014216;;;-0,043308;0,025758;;0,069066;
91;2.771.687;;91;2,771687;2,829211;;0,057524;;;0,025758;0,02048;;-0,005278;
92;2.829.211;;92;2,829211;2,860977;;0,031766;;;0,02048;0,011263;;-0,009217;
93;2.860.977;;93;2,860977;2,872263;;0,011286;;;0,011263;-0,000509;;-0,011772;
94;2.872.263;;94;2,872263;2,872286;;2,3E-05;;;-0,000509;-0,006399;;-0,00589;
95;2.872.286;;95;2,872286;2,872818;;0,000532;;;-0,006399;0,00685;;0,013249;
96;2.872.818;;96;2,872818;2,879749;;0,006931;;;0,00685;4,9E-05;;-0,006801;
97;2.879.749;;97;2,879749;2,87983;;8,1E-05;;;4,9E-05;6E-06;;-4,3E-05;
98;2.879.830;;98;2,87983;2,879862;;3,2E-05;;;6E-06;-0,020952;;-0,020958;
99;2.879.862;;99;2,879862;2,879888;;2,6E-05;;;-0,020952;-0,05147;;-0,030518;
100;2.879.888;;100;2,879888;2,900866;;0,020978;;;-0,05147;0,072417;;0,123887;
101;2.900.866;;101;2,900866;2,973314;;0,072448;;;0,072417;1,7E-05;;-0,0724;
102;2.973.314;;102;2,973314;2,973345;;3,1E-05;;;1,7E-05;-0,013971;;-0,013988;
103;2.973.345;;103;2,973345;2,973359;;1,4E-05;;;-0,013971;0,013955;;0,027926;
104;2.973.359;;104;2,973359;2,987344;;0,013985;;;0,013955;-0,000551;;-0,014506;
105;2.987.344;;105;2,987344;2,987374;;3E-05;;;-0,000551;-0,001735;;-0,001184;
106;2.987.374;;106;2,987374;2,987955;;0,000581;;;-0,001735;-0,020776;;-0,019041;
107;2.987.955;;107;2,987955;2,990271;;0,002316;;;-0,020776;-0,00667;;0,014106;
108;2.990.271;;108;2,990271;3,013363;;0,023092;;;-0,00667;0,008721;;0,015391;
109;3.013.363;;109;3,013363;3,043125;;0,029762;;;0,008721;0,000952;;-0,007769;
110;3.043.125;;110;3,043125;3,064166;;0,021041;;;0,000952;-0,053882;;-0,054834;
111;3.064.166;;111;3,064166;3,084255;;0,020089;;;-0,053882;0,032881;;0,086763;
112;3.084.255;;112;3,084255;3,158226;;0,073971;;;0,032881;0,00477;;-0,028111;
113;3.158.226;;113;3,158226;3,199316;;0,04109;;;0,00477;-0,008399;;-0,013169;
114;3.199.316;;114;3,199316;3,235636;;0,03632;;;-0,008399;-0,408672;;-0,400273;
115;3.235.636;;115;3,235636;3,280355;;0,044719;;;-0,408672;0,453121;;0,861793;
116;3.280.355;;116;3,280355;3,733746;;0,453391;;;0,453121;4E-05;;-0,453081;
117;3.733.746;;117;3,733746;3,734016;;0,00027;;;4E-05;-1,7E-05;;-5,7E-05;
118;3.734.016;;118;3,734016;3,734246;;0,00023;;;-1,7E-05;-0,058635;;-0,058618;
119;3.734.246;;119;3,734246;3,734493;;0,000247;;;-0,058635;0,058664;;0,117299;
120;3.734.493;;120;3,734493;3,793375;;0,058882;;;0,058664;-0,001343;;-0,060007;
121;3.793.375;;121;3,793375;3,793593;;0,000218;;;-0,001343;0,001467;;0,00281;
122;3.793.593;;122;3,793593;3,795154;;0,001561;;;0,001467;-0,228876;;-0,230343;
123;3.795.154;;123;3,795154;3,795248;;9,4E-05;;;-0,228876;0,152637;;0,381513;
124;3.795.248;;124;3,795248;4,024218;;0,22897;;;0,152637;0,076301;;-0,076336;
125;4.024.218;;125;4,024218;4,100551;;0,076333;;;0,076301;-8,1E-05;;-0,076382;
126;4.100.551;;126;4,100551;4,100583;;3,2E-05;;;-8,1E-05;1,5E-05;;9,6E-05;
127;4.100.583;;127;4,100583;4,100696;;0,000113;;;1,5E-05;-0,023875;;-0,02389;
128;4.100.696;;128;4,100696;4,100794;;9,8E-05;;;-0,023875;-0,01158;;0,012295;
129;4.100.794;;129;4,100794;4,124767;;0,023973;;;-0,01158;0,014614;;0,026194;
130;4.124.767;;130;4,124767;4,16032;;0,035553;;;0,014614;0,016863;;0,002249;
131;4.160.320;;131;4,16032;4,181259;;0,020939;;;0,016863;-0,157249;;-0,174112;
132;4.181.259;;132;4,181259;4,185335;;0,004076;;;-0,157249;0,118481;;0,27573;
133;4.185.335;;133;4,185335;4,34666;;0,161325;;;0,118481;0,010837;;-0,107644;
134;4.346.660;;134;4,34666;4,389504;;0,042844;;;0,010837;0,031973;;0,021136;
135;4.389.504;;135;4,389504;4,421511;;0,032007;;;0,031973;2,2E-05;;-0,031951;
136;4.421.511;;136;4,421511;4,421545;;3,4E-05;;;2,2E-05;2E-06;;-2E-05;
137;4.421.545;;137;4,421545;4,421557;;1,2E-05;;;2E-06;-0,000339;;-0,000341;
138;4.421.557;;138;4,421557;4,421567;;1E-05;;;-0,000339;-0,015232;;-0,014893;
139;4.421.567;;139;4,421567;4,421916;;0,000349;;;-0,015232;-0,001299;;0,013933;
140;4.421.916;;140;4,421916;4,437497;;0,015581;;;-0,001299;-0,022035;;-0,020736;
141;4.437.497;;141;4,437497;4,454377;;0,01688;;;-0,022035;-0,094271;;-0,072236;
142;4.454.377;;142;4,454377;4,493292;;0,038915;;;-0,094271;0,133088;;0,227359;
143;4.493.292;;143;4,493292;4,626478;;0,133186;;;0,133088;-8,5E-05;;-0,133173;
144;4.626.478;;144;4,626478;4,626576;;9,8E-05;;;-8,5E-05;-0,04989;;-0,049805;
145;4.626.576;;145;4,626576;4,626759;;0,000183;;;-0,04989;0,007565;;0,057455;
146;4.626.759;;146;4,626759;4,676832;;0,050073;;;0,007565;-0,549509;;-0,557074;
147;4.676.832;;147;4,676832;4,71934;;0,042508;;;-0,549509;0,501753;;1,051262;
148;4.719.340;;148;4,71934;5,311357;;0,592017;;;0,501753;-0,134635;;-0,636388;
149;5.311.357;;149;5,311357;5,401621;;0,090264;;;-0,134635;0,184653;;0,319288;
150;5.401.621;;150;5,401621;5,62652;;0,224899;;;0,184653;-0,414045;;-0,598698;
151;5.626.520;;151;5,62652;5,666766;;0,040246;;;-0,414045;0,342685;;0,75673;
152;5.666.766;;152;5,666766;6,121057;;0,454291;;;0,342685;0,08489;;-0,257795;
153;6.121.057;;153;6,121057;6,232663;;0,111606;;;0,08489;0,025821;;-0,059069;
154;6.232.663;;154;6,232663;6,259379;;0,026716;;;0,025821;-0,000121;;-0,025942;
155;6.259.379;;155;6,259379;6,260274;;0,000895;;;-0,000121;-7,5E-05;;4,6E-05;
156;6.260.274;;156;6,260274;6,26129;;0,001016;;;-7,5E-05;0,00108;;0,001155;
157;6.261.290;;157;6,26129;6,262381;;0,001091;;;0,00108;-0,000398;;-0,001478;
158;6.262.381;;158;6,262381;6,262392;;1,1E-05;;;-0,000398;-0,030333;;-0,029935;
159;6.262.392;;159;6,262392;6,262801;;0,000409;;;-0,030333;-0,014296;;0,016037;
160;6.262.801;;160;6,262801;6,293543;;0,030742;;;-0,014296;-0,152874;;-0,138578;
161;6.293.543;;161;6,293543;6,338581;;0,045038;;;-0,152874;0,139987;;0,292861;
162;6.338.581;;162;6,338581;6,536493;;0,197912;;;0,139987;0,030626;;-0,109361;
163;6.536.493;;163;6,536493;6,594418;;0,057925;;;0,030626;-0,003652;;-0,034278;
164;6.594.418;;164;6,594418;6,621717;;0,027299;;;-0,003652;0,030924;;0,034576;
165;6.621.717;;165;6,621717;6,652668;;0,030951;;;0,030924;-0,000692;;-0,031616;
