No.;Time;;No.;Time;Time 2;;Delay;Total Delay;;Delay 1;Delay 2;;Jitter ;Total Jitter
65;10.360.778;;65;10,360778;10,360784;;6,00E-06;;;-0,040812;-1,195151;;-1,154339;
66;10.360.784;;66;10,360784;10,401602;;0,040818;;;-1,195151;-1,287213;;-0,092062;
67;10.401.602;;67;10,401602;11,637571;;1,235969;;;-1,287213;2,045571;;3,332784;
68;11.637.571;;68;11,637571;14,160753;;2,523182;;;2,045571;-2,141881;;-4,187452;
69;14.160.753;;69;14,160753;14,638364;;0,477611;;;-2,141881;2,4574;;4,599281;
70;14.638.364;;70;14,638364;17,257856;;2,619492;;;2,4574;0,120805;;-2,336595;
71;17.257.856;;71;17,257856;17,419948;;0,162092;;;0,120805;-0,824974;;-0,945779;
72;17.419.948;;72;17,419948;17,461235;;0,041287;;;-0,824974;0,866241;;1,691215;
73;17.461.235;;73;17,461235;18,327496;;0,866261;;;0,866241;-0,000046;;-0,866287;
74;18.327.496;;74;18,327496;18,327516;;2,00E-05;;;-0,000046;-0,149728;;-0,149682;
75;18.327.516;;75;18,327516;18,327582;;6,60E-05;;;-0,149728;-0,02511;;0,124618;
76;18.327.582;;76;18,327582;18,477376;;0,149794;;;-0,02511;-0,184805;;-0,159695;
77;18.477.376;;77;18,477376;18,65228;;0,174904;;;-0,184805;-0,287877;;-0,103072;
78;18.652.280;;78;18,65228;19,011989;;0,359709;;;-0,287877;0,294502;;0,582379;
79;19.011.989;;79;19,011989;19,659575;;0,647586;;;0,294502;0,336099;;0,041597;
80;19.659.575;;80;19,659575;20,012659;;0,353084;;;0,336099;-0,017192;;-0,353291;
81;20.012.659;;81;20,012659;20,029644;;0,016985;;;-0,017192;0,034157;;0,051349;
82;20.029.644;;82;20,029644;20,063821;;0,034177;;;0,034157;-0,000068;;-0,034225;
83;20.063.821;;83;20,063821;20,063841;;2,00E-05;;;-0,000068;-0,332955;;-0,332887;
84;20.063.841;;84;20,063841;20,063929;;8,80E-05;;;-0,332955;0,298813;;0,631768;
85;20.063.929;;85;20,063929;20,396972;;0,333043;;;0,298813;0,034112;;-0,264701;
86;20.396.972;;86;20,396972;20,431202;;0,03423;;;0,034112;-0,141712;;-0,175824;
87;20.431.202;;87;20,431202;20,43132;;0,000118;;;-0,141712;0,141812;;0,283524;
88;20.431.320;;88;20,43132;20,57315;;0,14183;;;0,141812;-0,000055;;-0,141867;
89;20.573.150;;89;20,57315;20,573168;;1,80E-05;;;-0,000055;-0,095034;;-0,094979;
90;20.573.168;;90;20,573168;20,573241;;7,30E-05;;;-0,095034;-0,008307;;0,086727;
91;20.573.241;;91;20,573241;20,668348;;0,095107;;;-0,008307;0,015818;;0,024125;
92;20.668.348;;92;20,668348;20,771762;;0,103414;;;0,015818;0,033256;;0,017438;
93;20.771.762;;93;20,771762;20,859358;;0,087596;;;0,033256;-0,231204;;-0,26446;
94;20.859.358;;94;20,859358;20,913698;;0,05434;;;-0,231204;0,245135;;0,476339;
95;20.913.698;;95;20,913698;21,199242;;0,285544;;;0,245135;-0,395557;;-0,640692;
96;21.199.242;;96;21,199242;21,239651;;0,040409;;;-0,395557;-0,194307;;0,20125;
97;21.239.651;;97;21,239651;21,675617;;0,435966;;;-0,194307;0,543977;;0,738284;
98;21.675.617;;98;21,675617;22,30589;;0,630273;;;0,543977;0,085205;;-0,458772;
99;22.305.890;;99;22,30589;22,392186;;0,086296;;;0,085205;-0,024052;;-0,109257;
100;22.392.186;;100;22,392186;22,393277;;0,001091;;;-0,024052;0,024985;;0,049037;
101;22.393.277;;101;22,393277;22,41842;;0,025143;;;0,024985;-0,044124;;-0,069109;
102;22.418.420;;102;22,41842;22,418578;;0,000158;;;-0,044124;0,044267;;0,088391;
103;22.418.578;;103;22,418578;22,46286;;0,044282;;;0,044267;0,000009;;-0,044258;
104;22.462.860;;104;22,46286;22,462875;;1,50E-05;;;0,000009;-0,0005;;-0,000509;
105;22.462.875;;105;22,462875;22,462881;;6,00E-06;;;-0,0005;0,000439;;0,000939;
106;22.462.881;;106;22,462881;22,463387;;0,000506;;;0,000439;-0,011201;;-0,01164;
107;22.463.387;;107;22,463387;22,463454;;6,70E-05;;;-0,011201;0,011072;;0,022273;
108;22.463.454;;108;22,463454;22,474722;;0,011268;;;0,011072;-0,040639;;-0,051711;
109;22.474.722;;109;22,474722;22,474918;;0,000196;;;-0,040639;0,013941;;0,05458;
110;22.474.918;;110;22,474918;22,515753;;0,040835;;;0,013941;-0,116314;;-0,130255;
111;22.515.753;;111;22,515753;22,542647;;0,026894;;;-0,116314;0,143188;;0,259502;
112;22.542.647;;112;22,542647;22,685855;;0,143208;;;0,143188;-0,00034;;-0,143528;
113;22.685.855;;113;22,685855;22,685875;;2,00E-05;;;-0,00034;-0,026399;;-0,026059;
114;22.685.875;;114;22,685875;22,686235;;0,00036;;;-0,026399;0,003915;;0,030314;
115;22.686.235;;115;22,686235;22,712994;;0,026759;;;0,003915;-3,321477;;-3,325392;
116;22.712.994;;116;22,712994;22,735838;;0,022844;;;-3,321477;3,340123;;6,6616;
117;22.735.838;;117;22,735838;26,080159;;3,344321;;;3,340123;0,004198;;-3,335925;
118;26.080.159;;118;26,080159;26,084357;;0,004198;;;0,004198;0;;-0,004198;
119;26.084.357;;119;26,084357;26,084357;;0;;;0;-0,347125;;-0,347125;
120;26.084.357;;120;26,084357;26,084357;;0;;;-0,347125;-1,862235;;-1,51511;
121;26.084.357;;121;26,084357;26,431482;;0,347125;;;-1,862235;0,969735;;2,83197;
122;26.431.482;;122;26,431482;28,640842;;2,20936;;;0,969735;1,199745;;0,23001;
123;28.640.842;;123;28,640842;29,880467;;1,239625;;;1,199745;0,001191;;-1,198554;
124;29.880.467;;124;29,880467;29,920347;;0,03988;;;0,001191;0,038004;;0,036813;
125;29.920.347;;125;29,920347;29,959036;;0,038689;;;0,038004;-0,020369;;-0,058373;
126;29.959.036;;126;29,959036;29,959721;;0,000685;;;-0,020369;0,007031;;0,0274;
127;29.959.721;;127;29,959721;29,980775;;0,021054;;;0,007031;0,013922;;0,006891;
128;29.980.775;;128;29,980775;29,994798;;0,014023;;;0,013922;-0,000234;;-0,014156;
129;29.994.798;;129;29,994798;29,994899;;0,000101;;;-0,000234;-0,043236;;-0,043002;
130;29.994.899;;130;29,994899;29,995234;;0,000335;;;-0,043236;0,04151;;0,084746;
131;29.995.234;;131;29,995234;30,038805;;0,043571;;;0,04151;0,002023;;-0,039487;
132;30.038.805;;132;30,038805;30,040866;;0,002061;;;0,002023;0,000018;;-0,002005;
133;30.040.866;;133;30,040866;30,040904;;3,80E-05;;;0,000018;-0,003347;;-0,003365;
134;30.040.904;;134;30,040904;30,040924;;2,00E-05;;;-0,003347;0,00326;;0,006607;
135;30.040.924;;135;30,040924;30,044291;;0,003367;;;0,00326;-0,00032;;-0,00358;
136;30.044.291;;136;30,044291;30,044398;;0,000107;;;-0,00032;0,000329;;0,000649;
137;30.044.398;;137;30,044398;30,044825;;0,000427;;;0,000329;0,000057;;-0,000272;
138;30.044.825;;138;30,044825;30,044923;;9,80E-05;;;0,000057;0,000016;;-0,000041;
139;30.044.923;;139;30,044923;30,044964;;4,10E-05;;;0,000016;-0,036885;;-0,036901;
140;30.044.964;;140;30,044964;30,044989;;2,50E-05;;;-0,036885;0,036889;;0,073774;
141;30.044.989;;141;30,044989;30,081899;;0,03691;;;0,036889;-0,000051;;-0,03694;
142;30.081.899;;142;30,081899;30,08192;;2,10E-05;;;-0,000051;-0,000087;;-0,000036;
143;30.081.920;;143;30,08192;30,081992;;7,20E-05;;;-0,000087;-0,005436;;-0,005349;
144;30.081.992;;144;30,081992;30,082151;;0,000159;;;-0,005436;0,004655;;0,010091;
145;30.082.151;;145;30,082151;30,087746;;0,005595;;;0,004655;0,000933;;-0,003722;
146;30.087.746;;146;30,087746;30,088686;;0,00094;;;0,000933;0;;-0,000933;
147;30.088.686;;147;30,088686;30,088693;;7,00E-06;;;0;-0,000015;;-0,000015;
148;30.088.693;;148;30,088693;30,0887;;7,00E-06;;;-0,000015;-0,071105;;-0,07109;
149;30.088.700;;149;30,0887;30,088722;;2,20E-05;;;-0,071105;0,029202;;0,100307;
150;30.088.722;;150;30,088722;30,159849;;0,071127;;;0,029202;0,001112;;-0,02809;
151;30.159.849;;151;30,159849;30,201774;;0,041925;;;0,001112;-0,017581;;-0,018693;
152;30.201.774;;152;30,201774;30,242587;;0,040813;;;-0,017581;0,017423;;0,035004;
153;30.242.587;;153;30,242587;30,300981;;0,058394;;;0,017423;-0,192655;;-0,210078;
154;30.300.981;;154;30,300981;30,341952;;0,040971;;;-0,192655;0,19328;;0,385935;
155;30.341.952;;155;30,341952;30,575578;;0,233626;;;0,19328;0,015404;;-0,177876;
156;30.575.578;;156;30,575578;30,615924;;0,040346;;;0,015404;0,024885;;0,009481;
157;30.615.924;;157;30,615924;30,640866;;0,024942;;;0,024885;-1,00011;;-1,024995;
158;30.640.866;;158;30,640866;30,640923;;5,70E-05;;;-1,00011;0,797431;;1,797541;
159;30.640.923;;159;30,640923;31,64109;;1,000167;;;0,797431;0,161662;;-0,635769;
160;31.641.090;;160;31,64109;31,843826;;0,202736;;;0,161662;-1,233405;;-1,395067;
161;31.843.826;;161;31,843826;31,8849;;0,041074;;;-1,233405;1,274458;;2,507863;
162;31.884.900;;162;31,8849;33,159379;;1,274479;;;1,274458;-1,482556;;-2,757014;
163;33.159.379;;163;33,159379;33,1594;;2,10E-05;;;-1,482556;0,13781;;1,620366;
164;33.159.400;;164;33,1594;34,641977;;1,482577;;;0,13781;0,344253;;0,206443;
165;34.641.977;;165;34,641977;35,986744;;1,344767;;;0,344253;-0,008535;;-0,352788;
166;35.986.744;;166;35,986744;36,987258;;1,000514;;;-0,008535;0,001402;;0,009937;
167;36.987.258;;167;36,987258;37,996307;;1,009049;;;0,001402;-2,948858;;-2,95026;
168;37.996.307;;168;37,996307;39,003954;;1,007647;;;-2,948858;3,956483;;6,905341;
169;39.003.954;;169;39,003954;42,960459;;3,956505;;;3,956483;-0,000072;;-3,956555;
170;42.960.459;;170;42,960459;42,960481;;2,20E-05;;;-0,000072;-0,000891;;-0,000819;
171;42.960.481;;171;42,960481;42,960575;;9,40E-05;;;-0,000891;0,000969;;0,00186;
172;42.960.575;;172;42,960575;42,96156;;0,000985;;;0,000969;-0,000006;;-0,000975;
173;42.961.560;;173;42,96156;42,961576;;1,60E-05;;;-0,000006;0,000007;;0,000013;
174;42.961.576;;174;42,961576;42,961598;;2,20E-05;;;0,000007;-2,549571;;-2,549578;
175;42.961.598;;175;42,961598;42,961613;;1,50E-05;;;-2,549571;2,386664;;4,936235;
176;42.961.613;;176;42,961613;45,511199;;2,549586;;;2,386664;0,122134;;-2,26453;
177;45.511.199;;177;45,511199;45,674121;;0,162922;;;0,122134;-1,053475;;-1,175609;
178;45.674.121;;178;45,674121;45,714909;;0,040788;;;-1,053475;0,82612;;1,879595;
179;45.714.909;;179;45,714909;46,809172;;1,094263;;;0,82612;-1,298705;;-2,124825;
180;46.809.172;;180;46,809172;47,077315;;0,268143;;;-1,298705;0,409058;;1,707763;
181;47.077.315;;181;47,077315;48,644163;;1,566848;;;0,409058;1,099599;;0,690541;
182;48.644.163;;182;48,644163;49,801953;;1,15779;;;1,099599;0,021075;;-1,078524;
183;49.801.953;;183;49,801953;49,860144;;0,058191;;;0,021075;0,024412;;0,003337;
184;49.860.144;;184;49,860144;49,89726;;0,037116;;;0,024412;-0,014807;;-0,039219;
185;49.897.260;;185;49,89726;49,909964;;0,012704;;;-0,014807;-0,240555;;-0,225748;
186;49.909.964;;186;49,909964;49,937475;;0,027511;;;-0,240555;0,228421;;0,468976;
187;49.937.475;;187;49,937475;50,205541;;0,268066;;;0,228421;-1,360297;;-1,588718;
188;50.205.541;;188;50,205541;50,245186;;0,039645;;;-1,360297;0,104675;;1,464972;
189;50.245.186;;189;50,245186;51,645128;;1,399942;;;0,104675;1,203682;;1,099007;
190;51.645.128;;190;51,645128;52,940395;;1,295267;;;1,203682;0,089044;;-1,114638;
191;52.940.395;;191;52,940395;53,03198;;0,091585;;;0,089044;-0,030081;;-0,119125;
192;53.031.980;;192;53,03198;53,034521;;0,002541;;;-0,030081;0,032459;;0,06254;
